Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Tenure
500,PC - 5,Georgeanne Shalne,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,2015-12-31,Active,2021-11-30,2088,1891.0,773.0,176.0,21.0,0.0,1364.0,0.40877842411422527,2161
501,PC - 10,Clemmie Edy,Level 8,Location 7,Client Service Staff,Serving Notice Period,Ailyn Marie-Ann,2015-12-31,Resigned,2017-03-31,368,368.0,0.0,0.0,0.0,0.0,440.0,0.0,456
502,PC - 2,Dell Clary,Level 6,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2015-12-31,Active,2021-11-30,2088,1756.5,1512.0,216.0,115.5,22.0,373.5,0.860802732707088,2161
503,PC - 2,Rubetta Elnora,Level 8,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2015-12-31,Active,2021-11-30,2088,1693.0,578.0,264.0,131.0,40.0,1153.0,0.3414057885410514,2161
504,PC - 5,Adina Hyacinthia,Level 8,Location 7,Client Service Staff,Confirmed Staff,Hedwiga Mehetabel,2015-12-31,Active,2021-11-30,2088,1861.0,1362.0,216.0,11.0,0.0,499.0,0.7318645889306824,2161
505,PC - 2,Tove Corabella,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2015-12-31,Active,2021-11-30,2088,1792.0,1484.0,240.0,56.0,0.0,692.0,0.828125,2161
506,PC - 1,Grayce Electra,Level 7,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2016-01-31,Active,2021-11-30,2088,1774.5,1306.0,288.0,25.5,0.0,765.0,0.7359819667511975,2130
507,PC - 3,Bernetta Edithe,Level 8,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,2021-11-30,2088,1924.0,1485.0,112.0,52.0,16.0,621.5,0.7718295218295218,2130
508,PC - 3,Gus Alida,Level 7,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,2021-11-30,2088,1976.0,1572.5,112.0,0.0,0.0,598.5,0.7957995951417004,2130
509,PC - 3,Fleurette Minny,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,2021-11-30,2088,1867.5,1913.0,176.0,44.5,0.0,95.5,1.024364123159304,2130
510,PC - 3,Maurita La Verne,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,2021-11-30,2088,1930.5,1989.0,120.0,37.5,0.0,120.5,1.0303030303030303,2130
511,PC - 2,Cairistiona Honor,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,2016-01-31,Active,2021-11-30,2088,1861.0,1632.0,168.0,59.0,152.0,144.0,0.876947877485223,2130
512,PC - 2,Jazmin Kyla,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-01-31,Active,2021-11-30,2088,1818.0,1494.0,140.0,130.0,0.0,485.0,0.8217821782178217,2130
513,PC - 2,Giacinta Amber,Level 7,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2016-01-31,Active,2021-11-30,2088,1855.0,1604.0,208.0,25.0,0.0,420.0,0.8646900269541778,2130
514,PC - 1,Krista Patrica,Level 7,Location 3,Client Service Staff,Confirmed Staff,Blondy Tatiania,2016-01-31,Active,2021-11-30,2088,1848.0,1616.0,212.0,28.0,0.0,286.0,0.8744588744588745,2130
515,PC - 1,Zenia Sukey,Level 8,Location 3,Client Service Staff,Confirmed Staff,Blondy Tatiania,2016-01-31,Active,2021-11-30,2088,1879.5,1640.5,192.0,16.5,0.0,329.0,0.8728385208832137,2130
516,PC - 5,Nesta Bibbie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Luciana Erika,2016-01-31,Active,2021-11-30,2088,1887.5,1656.0,184.0,16.5,0.0,904.0,0.8773509933774835,2130
517,PC - 2,Crissie Candida,Level 8,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2016-01-31,Active,2021-11-30,2088,1870.0,1582.0,164.0,54.0,0.0,592.0,0.8459893048128342,2130
518,PC - 2,Alie Franni,Level 8,Location 7,Client Service Staff,Serving Notice Period,Myrtie Brana,2016-01-31,Resigned,2017-05-31,2088,1819.0,1715.0,192.0,77.0,0.0,237.0,0.94282572842221,486
519,PC - 3,Jodee Tori,Level 7,Location 1,Client Service Staff,Confirmed Staff,Vonni Bethena,2016-01-31,Active,2021-11-30,2088,1852.0,1806.0,216.0,20.0,0.0,88.0,0.9751619870410367,2130
520,PC - 6,Marielle Nissy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2016-01-31,Active,2021-11-30,2088,1829.0,1500.0,256.0,3.0,116.0,221.0,0.8201202843083653,2130
521,PC - 3,Bertie Kailey,Level 8,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,2021-11-30,2088,1858.0,1751.0,168.0,62.0,0.0,319.5,0.9424111948331539,2130
522,PC - 2,Betsey Afton,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2016-01-31,Active,2021-11-30,2088,1839.0,1248.0,184.0,65.0,0.0,625.0,0.6786296900489397,2130
523,PC - 1,Deeyn Arlee,Level 10,Location 3,Client Service Staff,Serving Notice Period,Ardys Katerine,2016-01-31,Resigned,2016-05-31,280,280.0,272.0,0.0,0.0,0.0,16.0,0.9714285714285714,121
524,PC - 3,Sophey Odelia,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,2021-11-30,2088,1852.5,1794.0,184.0,51.5,0.0,225.5,0.968421052631579,2130
525,PC - 1,Faunie Amil,Level 6,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2016-01-31,Active,2021-11-30,2088,1895.0,1776.0,144.0,49.0,8.0,149.0,0.9372031662269129,2130
526,PC - 3,Jocelyn Norah,Level 6,Location 5,Client Service Staff,Confirmed Staff,Kylen Evania,2016-01-31,Active,2021-11-30,2088,1792.5,600.0,276.0,19.5,0.0,1200.5,0.33472803347280333,2130
527,PC - 6,Denyse Johnette,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2016-01-31,Active,2021-11-30,2088,2016.0,2024.0,56.0,16.0,0.0,-1.0,1.003968253968254,2130
528,PC - 3,Paule Aleen,Level 7,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2016-01-31,Active,2021-11-30,2088,1936.0,1762.0,152.0,0.0,200.0,160.0,0.9101239669421488,2130
529,PC - 3,Olia Janeen,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-01-31,Active,2021-11-30,2088,1803.5,1897.0,208.0,76.5,0.0,223.5,1.051843637371777,2130
530,PC - 3,Candide Pegeen,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-01-31,Active,2021-11-30,2088,1757.5,1529.0,240.0,90.5,0.0,275.5,0.8699857752489332,2130
531,PC - 1,Merci Ayn,Level 7,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,2016-01-31,Active,2021-11-30,2088,1776.0,1120.0,280.0,32.0,0.0,664.0,0.6306306306306306,2130
532,PC - 1,Isabelita Claudie,Level 8,Location 3,Client Service Staff,Serving Notice Period,Ezmeralda Nisse,2016-01-31,Active,2021-11-30,2088,1856.0,1462.0,216.0,16.0,0.0,446.0,0.7877155172413793,2130
533,PC - 6,Merl Ardis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2016-02-29,Active,2021-11-30,2088,1987.0,2075.0,112.0,-11.0,0.0,0.0,1.0442878711625567,2101
534,PC - 2,Quintana Karlotta,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-02-29,Active,2021-11-30,2088,1901.0,1377.0,168.0,19.0,0.0,628.0,0.7243556023145713,2101
535,PC - 2,Elva Annmarie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2016-02-29,Active,2021-11-30,2088,1831.5,1642.0,176.0,80.5,3.0,341.0,0.8965328965328966,2101
536,PC - 3,Katalin Anjela,Level 6,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-02-29,Active,2021-11-30,2088,1943.0,1584.0,136.0,9.0,0.0,440.0,0.8152341739577972,2101
537,PC - 2,Pammy Rowe,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2016-02-29,Active,2021-11-30,2088,1942.0,1222.0,104.0,42.0,0.0,762.0,0.6292481977342945,2101
538,PC - 2,Rosina Andriette,Level 7,Location 7,Client Service Staff,Serving Notice Period,Sile Lorrie,2016-01-31,Resigned,2017-04-30,2088,1848.0,1149.0,160.0,80.0,8.0,751.0,0.6217532467532467,455
539,PC - 1,Angelita Aline,Level 8,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-02-29,Active,2021-11-30,2088,1732.0,1716.0,352.0,4.0,0.0,104.0,0.9907621247113164,2101
540,PC - 2,Fawn Desiri,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-02-29,Active,2021-11-30,2088,1833.0,1626.5,172.0,83.0,0.0,287.5,0.8873431533006001,2101
541,PC - 1,Elfrida Pollyanna,Level 6,Location 3,Client Service Staff,Serving Notice Period,Alvinia Ede,2016-02-29,Resigned,2017-02-28,1888,1692.0,1620.0,184.0,12.0,0.0,72.0,0.9574468085106383,365
542,PC - 2,Gwennie Brandise,Level 7,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2016-02-29,Active,2021-11-30,2088,1871.0,1669.0,139.0,78.0,0.0,372.0,0.892036344200962,2101
543,PC - 1,Linette Thea,Level 6,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,2016-02-29,Active,2021-11-30,2088,1740.0,1533.0,280.0,68.0,0.0,386.0,0.8810344827586207,2101
544,PC - 6,Elli Noreen,Level 8,Location 3,Client Service Staff,Serving Notice Period,Stacey Cassey,2016-02-29,Resigned,2017-01-31,1648,1544.0,756.0,104.0,0.0,0.0,788.0,0.4896373056994819,337
545,PC - 3,Sheelagh Vivia,Level 7,Location 1,Client Service Staff,Confirmed Staff,Zaneta Arlette,2016-02-29,Active,2021-11-30,2088,1919.5,1848.0,152.0,16.5,0.0,91.5,0.9627507163323782,2101
546,PC - 2,Stevana Leticia,Level 7,Location 7,Client Service Staff,Confirmed Staff,Orelee Hanna,2016-02-29,Active,2021-11-30,2088,1781.0,1571.0,280.0,27.0,0.0,372.0,0.8820887142055025,2101
547,PC - 1,Nana Michell,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-02-29,Active,2021-11-30,2088,1847.0,1683.0,208.0,33.0,0.0,267.0,0.9112073632918246,2101
548,PC - 5,Ami Concordia,Level 8,Location 3,Client Service Staff,Confirmed Staff,Gavra Kayle,2016-02-29,Active,2021-11-30,2088,1878.5,1684.0,192.0,17.5,0.0,212.0,0.8964599414426404,2101
549,PC - 1,Claudette Jessalin,Level 7,Location 3,Client Service Staff,Confirmed Staff,Agnes Stacie,2016-02-29,Active,2021-11-30,2088,1838.0,1862.0,200.0,50.0,0.0,16.0,1.0130576713819368,2101
550,PC - 2,Austina Dorisa,Level 4,Location 7,Client Service Staff,Serving Notice Period,Daryl Natalina,2016-03-31,Resigned,2017-02-28,1904,1726.0,582.0,152.0,26.0,410.0,770.0,0.33719582850521435,334
551,PC - 2,Ursa Flore,Level 8,Location 7,Client Service Staff,Serving Notice Period,Aimil Latisha,2016-03-31,Resigned,2016-10-31,1216,1028.5,724.0,136.0,51.5,0.0,429.5,0.70393777345649,214
552,PC - 5,Tish Regan,Level 8,Location 7,Client Service Staff,Confirmed Staff,Hedwiga Mehetabel,2016-03-31,Active,2021-11-30,2088,1835.0,1400.0,184.0,69.0,0.0,467.5,0.7629427792915532,2070
553,PC - 2,Zitella Claudetta,Level 6,Location 7,Client Service Staff,Serving Notice Period,Dorotea Inger,2016-03-31,Resigned,2016-08-31,760,724.0,432.0,8.0,28.0,0.0,300.0,0.5966850828729282,153
554,PC - 6,Yelena Engracia,Level 8,Location 3,Client Service Staff,Confirmed Staff,Stacey Cassey,2016-03-31,Active,2021-11-30,2088,1957.0,1861.0,128.0,3.0,0.0,112.0,0.9509453244762391,2070
555,PC - 3,Liz Juanita,Level 7,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-03-31,Active,2021-11-30,2088,1734.5,1485.0,297.0,56.5,0.0,496.0,0.8561545113865667,2070
556,PC - 1,Buffy Glynda,Level 7,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,2016-03-31,Active,2021-11-30,2088,1910.0,1738.0,152.0,26.0,0.0,431.0,0.9099476439790576,2070
557,PC - 3,Yolande Candace,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-03-31,Active,2021-11-30,2088,1761.5,1811.0,272.0,54.5,0.0,36.5,1.0281010502412717,2070
558,PC - 3,Con Sallee,Level 7,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-03-31,Active,2021-11-30,2088,1895.0,1436.0,152.0,41.0,0.0,679.5,0.7577836411609499,2070
559,PC - 2,Melisa Ramona,Level 7,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,2016-03-31,Active,2021-11-30,2088,1783.5,1806.5,180.0,124.5,0.0,81.0,1.0128959910288757,2070
560,PC - 1,Sabina Karrah,Level 7,Location 3,Client Service Staff,Confirmed Staff,Erminie Ericka,2016-03-31,Active,2021-11-30,2088,2000.0,1113.0,80.0,8.0,0.0,929.0,0.5565,2070
561,PC - 3,Lauren Verna,Level 6,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2016-03-31,Active,2021-11-30,2088,1937.5,1548.0,136.0,14.5,0.0,596.5,0.7989677419354839,2070
562,PC - 6,Mireille Barbie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2016-04-30,Active,2021-11-30,2080,1835.0,1504.0,232.0,13.0,80.0,267.0,0.8196185286103542,2040
563,PC - 3,Alberta Nessi,Level 7,Location 5,Client Service Staff,Confirmed Staff,Deloris Gabriella,2016-04-30,Active,2021-11-30,2080,1850.5,1152.0,196.0,33.5,0.0,771.5,0.6225344501486085,2040
564,PC - 3,Clarice Lela,Level 8,Location 5,Client Service Staff,Confirmed Staff,Deloris Gabriella,2016-04-30,Active,2021-11-30,2080,1927.0,1208.5,144.0,9.0,0.0,734.5,0.6271406331084587,2040
565,PC - 2,Minne Tilda,Level 7,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,2016-04-30,Active,2021-11-30,2080,1836.5,1856.0,128.0,115.5,0.0,142.5,1.010618023414103,2040
566,PC - 6,Katinka Roxy,Level 8,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2016-04-30,Active,2021-11-30,2040,1867.5,1880.0,96.0,76.5,0.0,11.5,1.0066934404283803,2040
567,PC - 3,Lyn Pansy,Level 6,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2016-04-30,Active,2021-11-30,2040,1859.5,774.0,144.0,36.5,0.0,1145.5,0.4162409249798333,2040
568,PC - 1,Jeanelle Agace,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,2016-04-30,Active,2021-11-30,2040,1789.44,1255.5,160.0,90.56,0.0,671.94,0.7016161480686695,2040
569,PC - 1,Tiphany Idelle,Level 7,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2016-04-30,Active,2021-11-30,2040,1790.0,1415.0,136.0,114.0,0.0,406.0,0.7905027932960894,2040
570,PC - 2,Bobette Portia,Level 7,Location 7,Client Service Staff,Confirmed Staff,Sile Lorrie,2016-04-30,Active,2021-11-30,2040,1780.0,1665.0,192.0,68.0,39.0,115.0,0.9353932584269663,2040
571,PC - 1,Wileen Dyanna,Level 7,Location 3,Client Service Staff,Confirmed Staff,Jillana Vivi,2016-04-30,Active,2021-11-30,2040,1646.0,1571.0,256.0,138.0,0.0,436.0,0.9544349939246659,2040
572,PC - 2,Terrie Rosemaria,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,2016-04-30,Active,2021-11-30,2040,1831.0,1720.0,120.0,89.0,52.0,126.0,0.9393773894046968,2040
573,PC - 2,Esma Peggi,Level 7,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2016-04-30,Active,2021-11-30,2040,1818.0,1734.0,172.0,50.0,4.0,438.0,0.9537953795379538,2040
574,PC - 5,Tabitha Heidie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Rosabella Arlina,2016-04-30,Active,2021-11-30,2040,1752.0,1064.0,188.0,100.0,40.0,782.0,0.6073059360730594,2040
575,PC - 6,Annette Talya,Level 8,Location 7,Client Service Staff,Serving Notice Period,Frances Mignonne,2016-04-30,Resigned,2017-03-31,1912,1721.0,1693.0,140.0,51.0,0.0,126.0,0.9837303893085415,335
576,PC - 6,Perri Lani,Level 7,Location 7,Client Service Staff,Confirmed Staff,Pamelina Shalna,2016-04-30,Active,2021-11-30,2040,1796.0,1664.0,196.0,48.0,0.0,188.0,0.9265033407572383,2040
577,PC - 2,Eddi Sheree,Level 7,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2016-04-30,Active,2021-11-30,2040,1841.0,1543.0,128.0,71.0,0.0,387.5,0.8381314502987507,2040
578,PC - 2,Violetta Ronnica,Level 7,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2016-04-30,Active,2021-11-30,2040,1767.5,1536.0,144.0,128.5,9.0,324.0,0.869024045261669,2040
579,PC - 1,Ernestine Anica,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,2016-04-30,Active,2021-11-30,2040,1711.0,1294.0,256.0,73.0,0.0,434.0,0.7562828755113968,2040
580,PC - 2,Ranice Gilberte,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,2016-04-30,Active,2021-11-30,2040,1832.0,1723.0,144.0,64.0,8.0,189.0,0.9405021834061136,2040
581,PC - 2,Valencia Veronica,Level 8,Location 7,Client Service Staff,Serving Notice Period,Myrtie Brana,2016-04-30,Resigned,2016-06-30,400,376.0,89.0,0.0,24.0,0.0,316.0,0.23670212765957446,61
582,PC - 2,Demeter Aryn,Level 7,Location 7,Client Service Staff,Confirmed Staff,Sile Lorrie,2016-04-30,Active,2021-11-30,2040,1708.0,1482.0,264.0,68.0,0.0,343.0,0.8676814988290398,2040
583,PC - 1,Deva Anita,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,2016-04-30,Active,2021-11-30,2040,1765.0,1072.0,208.0,67.0,0.0,763.0,0.6073654390934844,2040
584,PC - 1,Darline Gerhardine,Level 7,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2016-04-30,Active,2021-11-30,2040,1671.5,1313.5,264.0,104.5,0.0,377.0,0.7858211187556088,2040
585,PC - 2,Morganica Nanny,Level 7,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2016-04-30,Active,2021-11-30,696,606.0,382.0,88.0,2.0,0.0,240.0,0.6303630363036303,2040
586,PC - 2,Madonna Constantina,Level 7,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2016-04-30,Active,2021-11-30,2040,1797.0,1441.0,148.0,95.0,0.0,438.0,0.80189204229271,2040
587,PC - 2,Gretta Sarina,Level 7,Location 9,Client Service Staff,Confirmed Staff,Orelee Hanna,2016-04-30,Active,2021-11-30,2040,1669.0,1663.0,220.0,151.0,0.0,474.0,0.9964050329538646,2040
588,PC - 1,Nonie Jasmina,Level 6,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,2016-04-30,Active,2021-11-30,2000,1805.5,1644.0,120.0,74.5,0.0,620.5,0.9105510938798117,2040
589,PC - 1,Rebe Melicent,Level 7,Location 3,Client Service Staff,Confirmed Staff,Blondy Tatiania,2016-04-30,Active,2021-11-30,2000,1689.5,1265.5,248.0,62.5,0.0,460.0,0.7490381769754365,2040
590,PC - 3,Karin Alica,Level 7,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-04-30,Active,2021-11-30,2000,1788.5,834.0,168.0,43.5,0.0,963.5,0.46631255241822755,2040
591,PC - 6,Morgana Blondie,Level 6,Location 2,Client Service Staff,Confirmed Staff,Tallia Eyde,2016-04-30,Active,2021-11-30,2000,1714.0,1443.5,140.0,146.0,219.5,367.0,0.8421820303383898,2040
592,PC - 2,Querida Dulcine,Level 8,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,2016-04-30,Active,2021-11-30,2000,1668.0,1404.0,204.0,128.0,5.5,388.5,0.841726618705036,2040
593,PC - 2,Dorotea Inger,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2016-04-30,Active,2021-11-30,1960,1666.5,3.5,228.0,65.5,1037.0,664.0,0.0021002100210021,2040
594,PC - 2,Micky Barb,Level 7,Location 7,Client Service Staff,Serving Notice Period,Myrtie Brana,2016-04-30,Resigned,2016-10-31,1120,984.0,701.0,80.0,56.0,0.0,374.0,0.7123983739837398,184
595,PC - 1,Bea Vale,Level 7,Location 3,Client Service Staff,Confirmed Staff,Jillana Vivi,2016-05-31,Active,2021-11-30,1920,1649.0,1050.0,184.0,87.0,0.0,1019.0,0.6367495451788963,2009
596,PC - 3,Vanna Jill,Level 6,Location 1,Client Service Staff,Staff on Probation,Hedi Elna,2016-05-31,Resigned,2016-05-31,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0
597,PC - 3,Anny Kate,Level 8,Location 1,Client Service Staff,Serving Notice Period,Hedi Elna,2016-05-31,Resigned,2017-03-31,1880,1798.0,1380.0,56.0,26.0,0.0,703.0,0.7675194660734149,304
598,PC - 3,Olimpia Euphemia,Level 7,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-05-31,Active,2021-11-30,1920,1830.5,1136.0,64.0,25.5,0.0,825.5,0.6205954657197487,2009
599,PC - 3,Marne Linn,Level 6,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2016-05-31,Active,2021-11-30,1920,1624.5,480.0,256.0,39.5,0.0,1176.5,0.29547553093259465,2009
600,PC - 2,Jemmy Alexa,Level 8,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,2016-05-31,Active,2021-11-30,1920,1595.5,978.0,200.0,124.5,8.0,671.0,0.6129739893450329,2009
601,PC - 3,Anastasie Lindsay,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-05-31,Active,2021-11-30,1920,1647.5,1686.0,136.0,136.5,0.0,124.0,1.0233687405159333,2009
602,PC - 5,Orelie Domeniga,Level 8,Location 7,Client Service Staff,Confirmed Staff,Rosabella Arlina,2016-05-31,Active,2021-11-30,1880,1662.0,1719.5,164.0,54.0,0.0,40.0,1.0345968712394704,2009
603,PC - 1,Anthia Emalia,Level 8,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,2016-05-31,Active,2021-11-30,1880,1739.5,1176.0,112.0,28.5,0.0,563.5,0.676056338028169,2009
604,PC - 1,Tova Collette,Level 8,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,2016-05-31,Active,2021-11-30,1880,1632.0,944.0,160.0,88.0,0.0,712.0,0.5784313725490197,2009
605,PC - 1,Darci Arabelle,Level 7,Location 3,Client Service Staff,Confirmed Staff,Isahella Gwendolin,2016-05-31,Active,2021-11-30,1880,1645.0,1168.0,192.0,43.0,0.0,537.0,0.7100303951367781,2009
606,PC - 1,Jessalyn Kariotta,Level 7,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,2016-05-31,Active,2021-11-30,1880,1665.0,1152.0,168.0,47.0,0.0,521.0,0.6918918918918919,2009
607,PC - 2,Kaylyn Carlene,Level 8,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-05-31,Active,2021-11-30,1880,1532.5,1358.0,276.0,71.5,0.0,260.5,0.8861337683523655,2009
608,PC - 2,Tiffie Mariann,Level 7,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2016-05-31,Active,2021-11-30,1880,1718.0,1748.0,104.0,58.0,0.0,197.0,1.0174621653084983,2009
609,PC - 2,Dorri Harmonie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2016-05-31,Active,2021-11-30,1880,1737.0,1142.4,96.0,47.0,396.0,305.0,0.657685664939551,2009
610,PC - 1,Adda Rachel,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-05-31,Active,2021-11-30,1880,1699.5,1121.0,112.0,68.5,0.0,607.5,0.659605766401883,2009
611,PC - 3,Yevette Analiese,Level 7,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-05-31,Active,2021-11-30,1840,1579.5,819.0,240.0,20.5,0.0,840.5,0.5185185185185185,2009
612,PC - 1,Ina Katherina,Level 8,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-05-31,Active,2021-11-30,1800,1584.0,1638.0,160.0,56.0,0.0,32.0,1.0340909090909092,2009
613,PC - 5,Casandra Goldie,Level 8,Location 7,Client Service Staff,Serving Notice Period,Orsa Margeaux,2016-05-31,Resigned,2016-08-31,416,368.0,235.0,48.0,0.0,0.0,191.0,0.6385869565217391,92
614,PC - 1,Bliss Darcy,Level 8,Location 3,Client Service Staff,Confirmed Staff,Cherry Fancie,2016-05-31,Active,2021-11-30,1800,1519.5,1409.5,192.0,88.5,0.0,136.0,0.9276077657124054,2009
615,PC - 3,Dorolisa Tedda,Level 8,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-05-31,Active,2021-11-30,1760,1591.0,1120.0,80.0,89.0,0.0,759.0,0.7039597737272156,2009
616,PC - 3,Ester Ardisj,Level 7,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-05-31,Active,2021-11-30,1760,1495.5,1227.0,168.0,96.5,0.0,380.5,0.8204613841524574,2009
617,PC - 3,Emylee Danna,Level 7,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-05-31,Active,2021-11-30,1760,1550.5,638.0,128.0,81.5,0.0,954.5,0.4114801676878426,2009
618,PC - 1,Maria Aubrey,Level 6,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,2016-05-31,Active,2021-11-30,1760,1557.5,1297.0,172.0,30.5,64.0,271.5,0.8327447833065811,2009
619,PC - 1,Meryl Kata,Level 8,Location 3,Client Service Staff,Confirmed Staff,Cherry Fancie,2016-05-31,Active,2021-11-30,1760,1503.0,1528.0,184.0,73.0,0.0,62.0,1.0166333998669328,2009
620,PC - 3,Marthena Mallorie,Level 7,Location 1,Client Service Staff,Confirmed Staff,Rosalynd Catina,2016-06-30,Active,2021-11-30,1720,1484.5,1400.0,160.0,75.5,0.0,411.5,0.9430784776018861,1979
621,PC - 3,Louise Allis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Benedikta Kirbee,2016-06-30,Active,2021-11-30,1720,1526.0,1474.0,112.0,82.0,0.0,197.5,0.9659239842726082,1979
622,PC - 3,Aurilia Ardra,Level 7,Location 1,Client Service Staff,Confirmed Staff,Xylina Beatriz,2016-06-30,Active,2021-11-30,1720,1508.5,1469.5,144.0,67.5,0.0,247.5,0.9741465031488233,1979
623,PC - 3,Nelia Eartha,Level 7,Location 1,Client Service Staff,Confirmed Staff,Zaneta Arlette,2016-06-30,Active,2021-11-30,1720,1529.5,1581.0,128.0,62.5,0.0,128.5,1.0336711343576332,1979
624,PC - 3,Roanna Maribel,Level 7,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-06-30,Active,2021-11-30,1720,1499.5,1172.0,160.0,60.5,0.0,667.5,0.7815938646215406,1979
